"symbol","timestamp","content","Positive","Negative","Neutral"
"HTHT","2021-06-14 12:00:01+00:00","Interesting candlestick patterns of the day: BULLISH HARAMI $BANF $BK $CTRN BULLISH PIERCING LINE $MHH $HTHT BEARISH PIERCING LINE $EGP $CAH THREE BLACK CROWS $ANIK $ALDX $APPH $AQUA $BG",0.07540015876293182,0.025798536837100983,0.898801326751709
"HTHT","2021-06-15 04:20:26+00:00","tight consolidation: $ALLY, $ALSN, $AMAT, $CRM, $DDD, $ED, $HTHT, $QCOM, $RTX, $VIAC, $XLNX, $XME",0.050806425511837006,0.026218198239803314,0.9229754209518433
"HTHT","2021-06-17 15:38:44+00:00","Highlights of our published research today.... June 2021 Company Visit Takeaways on $BILI $TCOM $HTHT",0.08251012861728668,0.012852130457758904,0.9046377539634705
"HTHT","2021-06-18 14:31:59+00:00","Best performing large cap stocks in today's early trading CureVac $CVAC Centrais $EBR Tal Eduaction $TAL DocuSign $DOCU Agilon $AGL $GDS $SOFI Zillow $Z $BILL $ROKU Nvidia $NVDA $OKTA Bilibili $BILI Huazhu $HTHT Adobe $ADBE Lennar $LEN Five9 $FIVN Lightspeed $LSPD Chegg $CHGG",0.3934979736804962,0.033312007784843445,0.5731899738311768
"HTHT","2021-06-18 15:18:47+00:00","Best performing large cap stocks in today's early trading CureVac $CVAC Centrais $EBR Tal Eduaction $TAL DocuSign $DOCU $AGL $NEWH  $GDS $SOFI Zillow $Z $BILL $ROKU Nvidia $NVDA $OKTA Bilibili $BILI Huazhu $HTHT Adobe $ADBE Lennar $LEN Five9 $FIVN Lightspeed $LSPD Chegg $CHGG",0.3829186260700226,0.03207060322165489,0.5850107073783875
"HTHT","2021-06-22 20:24:18+00:00","Worst performing large cap stocks from today Arrival $ARVL -8.4% XPeng $XPEV -8.3% $SOFI -5.8% $NIO -5.2% AppLovin $APP -4.3% LI Auto $LI -3.9% New Oriental $EDU -3.7% Iron Mountain $IRM -3.5% Bilibili $BILI -3% Evergy $EVRG -2.9% Huazhu $HTHT -2.8% Marqeta $MQ -2.7% $CVAC -2.6%",0.014187021180987358,0.8952760100364685,0.09053704142570496
"HTHT","2021-06-25 12:00:02+00:00","Popular: $SPCE, $FDX, $ENPH, $SE, $HTHT, $NEWR",0.05436866357922554,0.012747861444950104,0.9328835010528564
"HTHT","2021-06-25 18:22:17+00:00","Some of the largest stocks that hit new 1 Month Lows at some point today NetEase $NTES Southern $SO Coupang $CPNG Air Products $APD Vodafone $VOD Monster $MNST Southwest $LUV Orange $ORAN Franco $FNV Trip(.)com $TCOM Ryanair $RYAAY Entergy $ETR Huazhu $HTHT $SOFI Agnico $AEM",0.05350529029965401,0.5671894550323486,0.3793052136898041
"HTHT","2021-06-27 20:00:11+00:00","Earnings this week 2021-06-28:  $MU $CAG $HTHT $JEF $AYI 2021-06-29:  $DFS $GIS $CPRI $M $FIZZ 2021-06-30:  $KFY $LNN $CBAT",0.38171645998954773,0.0502786785364151,0.568004846572876
"HTHT","2021-07-01 14:13:33+00:00","$HTHT SOLD 9 @ $54.05; -$13.68, -2.89% Peers: $SPY $QQQ $DIA $IWM",0.10848115384578705,0.05051552131772041,0.8410033583641052
