"symbol","timestamp","content","Positive","Negative","Neutral"
"TOL","2021-06-07 01:45:14+00:00","Portfolio: $APP $ASHR $ASO $AVAH $EUFN $PATH $SEM $SLM $5.HK $388.HK GBP/USD CAD/USD, Heating Oil, Gasoline, Sugar, Wheat Short: $MSTR Bitcoin Watchlist: $AMAT $AMN $ASIX $BG $CCRN $CMC $DAN $EGLE $FUTU $KALU $KRE $LSPD $MYFW $OBNK $SASR $SEAS $TOL $VCTR",0.13044889271259308,0.03127429634332657,0.838276743888855
"TOL","2021-06-08 01:04:12+00:00","lumber prices quietly 25% off their highs in May. think the #homebuilders will lower prices? or just have juicier margins since all you drones absolutely ""have"" to buy right now $LEN $TOL $BZH",0.20499323308467865,0.07928173243999481,0.7157250046730042
"TOL","2021-06-08 03:59:42+00:00","I have found a hidden pearl on our huge DEFI sea! Check NEWINU and ya will recognize everything! How to get to understand it? &gt;@newinu_official $cap $bake $mofi $stx $crv $atp $btc $klay $tol $zen $hbar $ankr $cva $ont $hnt $pit $mina $pxg $btt $ust $fil $aqua $yas $ht",0.10162688791751862,0.0223406869918108,0.8760324120521545
"TOL","2021-06-08 10:50:11+00:00","Paul Torres-Cohen $TOL",0.06631093472242355,0.017578324303030968,0.9161107540130615
"TOL","2021-06-08 15:38:44+00:00","Out of $TOL @ 62.73  ᐁ 3.566%",0.05595491826534271,0.08286896347999573,0.8611761331558228
"TOL","2021-06-10 14:27:04+00:00","Homebuilder stocks $ITB $LEN $TOL $KBH $PHM $DHI are one of the weakest industry groups today. These stocks are now trading around major daily and weekly chart support levels. If they fail to hold here it can spell big issues for all markets soon. #StockMarket",0.008975259959697723,0.9608744382858276,0.030150212347507477
"TOL","2021-06-11 13:51:38+00:00","Got rid of $TOL @ 59.20  ᐁ 8.993%",0.12521663308143616,0.07925717532634735,0.7955262064933777
"TOL","2021-06-14 14:26:25+00:00","QQ, investor friends! I’m looking for stable systems. I've find out @dao_gaia saying that they represent the best passive income from an eco-friendly system with GaiaDAO. $jt $feg $btcb $sun $eos $avax $sc $vet $tcfx $eth $hfi $crs $tol $alu $xrp $btg $ht $grt $mec",0.3967877924442291,0.012114129960536957,0.5910980701446533
"TOL","2021-06-14 15:01:51+00:00","What can I claim about @MyLottoCoin? It's as reliable and safe as it's possible. It's fully Decentralized and transparent. It's easy to use and they always feel about something cool to launch. What else do u need?! $bsv $xrp $glxm $bear $rest $usdc $cake $feg $tol $amp",0.08977313339710236,0.010882405564188957,0.8993445038795471
"TOL","2021-06-16 05:21:44+00:00","I give u three reasons to participate in DDEX, follow carefully: 1. It’s a fresh very gainful decentralised exchange 2. It has AMM trading, EZ and efficient 3. It’s referral mining is wonderful! Don’t miss your chance! $pika $cpi $fire $tat $bcug $tel $tone $tol",0.10558765381574631,0.010832486674189568,0.8835798501968384
"TOL","2021-06-16 05:24:26+00:00","Nowadays u cannot trust just every single platform. Well turn your eye on well-tested projects like @MyLottoCoin! Very important thing - IEO on @latokens. $glxm $cpi $zec $leo $husd $vet $neo $ltn $bafi $chz $shib $bch $hodl $bree $tol $snx $chsb $eos $sfms $pin",0.12191817909479141,0.02658066339790821,0.8515011668205261
"TOL","2021-06-18 18:23:56+00:00","I don't understand why all the housing stocks are up with the taper talk. Perhaps the thinking is that more people will buy homes sooner rather than later as they expect mortgage rates next year to be higher? $KBH $LEN $TOL $DHI",0.23509721457958221,0.06194422394037247,0.7029585242271423
"TOL","2021-06-18 23:54:10+00:00","Just found out a real hidden pearl, still under the radar, with top 20 CEX coming! Check @Rentible_io and you will recognize..Super cool stuff! $vega $eos $omg $sc $cel $hodl $tol $ult $ksm $gift $luna $kcs $btg $yfi $ht $husd $mkr $fire $icp $mng $algo $egld",0.1292579025030136,0.018393682315945625,0.8523483872413635
"TOL","2021-06-19 01:17:20+00:00","I've found out a hidden miracle in the space of crypto and I feel u should understand about it! @RARA_NFT it's easy and extremely profitable. u must check it out! $doge $blp $one $okb $bcn $ust $mkr $tend $tol $bhd $bloc $mana $nano $bake $ada $enj $eth $xtz",0.16749654710292816,0.01369559671729803,0.81880784034729
"TOL","2021-06-20 19:20:35+00:00","Paul Torres-Cohen $TOL",0.06631093472242355,0.017578324303030968,0.9161107540130615
"TOL","2021-06-24 18:24:06+00:00","Added some $tol for a swing back to ath's. They can't build them fast enough.",0.1209549680352211,0.0334702804684639,0.8455747365951538
"TOL","2021-06-25 21:23:32+00:00","Gosh, I’ve checked out the best product to invest in! $TENFI not only represents the best income, but also helps to make money out of staking! cool, right?! $rise $fnk $tol $bsv $nano $tusd $ada $usdc $mis $urqa $stx $aave $brt $shib $ltc $guh $xtp $vtc $cake $snx $ht $ont",0.19070746004581451,0.012640709988772869,0.7966517806053162
"TOL","2021-06-26 00:11:10+00:00","I have some details to give you. If you still don’t keep $CSTR by CoreStarter with such fast growth, it is all set for the moon! $mana $pit $dvp $omi $btcb $ht $crv $mars $hot $trx $zec $pha $shib $avax $okb $qbz $emb $star $tol $ift $sfms $ftm $dot $enq $celo $yfi $pax $sc",0.12221848219633102,0.020589368417859077,0.8571922183036804
"TOL","2021-06-27 12:59:01+00:00","Choose safer and more  stable tokens for investing! IMHO, each normal project should have a trusted team, as $PAND by @PandFinance  does. $zil $chsb $bscx $wbtc $mis $uma $dvp $crv $mdx $tol $bcn $okb $bnb $ht $btc $enj $btt $chz $hbar $celo $ksf $lqty $guh $ftm $rte $rise $sc",0.14547298848628998,0.01175274234265089,0.8427743315696716
"TOL","2021-06-27 14:14:00+00:00","Choose safer and more stable coins for assets! i believe, every normal system should have a trusted team, as @plethori does. $icp $qnt $lbxc $mes $bch $comp $cel $cnb $sc $dot $nano $duke $mkr $mdm $tol $zil $zec $swg $sol $asko $kki $busd $mofi $ddrt $grt",0.14093194901943207,0.012262430973351002,0.8468056321144104
"TOL","2021-06-27 14:21:13+00:00","I always treated Defi projects with some distrust, cuz their value is not backed by anything. @HurricaneSwap looks more perspective. $ht $cro $sol $bnt $zen $xlm $tusd $dai $grt $klay $xem $tol $vet $mana $catz $fxt $chsb $slth $crdt $hbar $upi $celo $ltc $luna $fxc $pit $ift",0.04795896261930466,0.03446974605321884,0.9175712466239929
"TOL","2021-06-27 14:23:33+00:00","LOL don’t need to tell yield-farming tokens are going to be the next thing! This is astonishing. Just have a look at PAND by @PandFinance  you will understand what I’m talking about $stx $qtum $swg $avax $luna $trix $vet $tol $xdc $meet $hot $ift $ltc $btt $xtz $mrcr $btg",0.07697226852178574,0.021965131163597107,0.9010626077651978
"TOL","2021-06-27 15:15:01+00:00","#homebuilders so lumber is back under $800 ($300-$500 is somewhat normal)... now look to the builders to offer face saving discounts ""Passing the savings on to you"" after having to raise prices this last year. demand is backing off a bit ive seen ..... (1) $LEN $TOL $KBH $NAIL",0.4444246292114258,0.38636690378189087,0.16920846700668335
"TOL","2021-06-28 12:46:33+00:00","Upgrades 6/28: $BEP $BEPC $CX $FRT $IP $MAC $NCBS $NKTR $TOL $UBX . Downgrades 6/28: $BAP $GBT $IFS $MMS $SAND $WIX",0.054880306124687195,0.29522186517715454,0.6498978137969971
"TOL","2021-06-28 16:51:06+00:00","$NKTR: Stifel Upgrades to Buy from Hold - PT $24 $NCBS: Stephens Upgrades to Overweight from Equal Weight - PT $88 $PUBM: Evercore ISI Upgrades to Outperform from In Line $TOL: BTIG Upgrades to Neutral from Sell $UBX: Citigroup Upgrades to Buy from Sell - PT $6",0.8893260359764099,0.01763135753571987,0.09304250776767731
"TOL","2021-06-28 22:21:07+00:00","Sap, friends! heard of @smaugsnft fresh ecosystem for artists? So proud to know! Moment to take part the coolest NFT marketplace 💰 $sol $jt $omg $ont $xxa $btc $doge $zec $etc $ada $vet $usdt $tol $link $dmt $xmr $edr $cro $btc $ltn $lbxc $busd $tiki $xrp $ada $avax",0.47097107768058777,0.018040694296360016,0.510988175868988
"TOL","2021-06-30 12:46:46+00:00","6/30 upgrades:  $AR $CSL $CSX $HXL $KDP $MAC $MAS $MU $RARE $STX $TOL $TXT $UBX",0.19924069941043854,0.017231490463018417,0.7835278511047363
"TOL","2021-07-07 19:00:32+00:00","💥ETF Insight!💥 Here are the top ten holdings of $FXD, otherwise known as the First Trust Consumer Discretionary AlphaDEX ETF! 👇 1. $GHC 2. $QRTEA 3. $TOL 4. $FL 5. $BWA 6. $PHM 7. $NXST 8. $DHI 9. $PAG 10. $MAT Interesting names! 🔥",0.034188926219940186,0.01972544938325882,0.9460855722427368
"TOL","2021-07-07 20:00:00+00:00","$GNRC ATH on Chilicon acquisition; deal drags $SEDG $ENPH $SAM jump on CS u/g on hard seltzer strength $WHR $MHK rise as JPM top picks; $PHM $TOL $LEN rise w/ falling yields $SGH ATH on EPS $FANG $HAL $OXY slip on UAE push to boost production WSB names $GME $CLNE $AMC $WISH fall",0.7857681512832642,0.10202491283416748,0.11220688372850418
"TOL","2021-07-07 22:04:15+00:00","Investors searching for beaten-down stocks may want to consider homebuilders. Declines from 52-wk highs thru Wed: Hovnanian $HOV -30.2% Beazer $BZH -28.6 KBHome $KBH -22.5 Meritage $MTH -21.3 Toll $TOL -15.7 Pulte $PHM -13.8 DRHorton $DHI -13.0 LGI $LGIH -10.2 Lennar $LEN -7.6",0.03389100357890129,0.8039855360984802,0.16212356090545654
"TOL","2021-07-08 13:48:01+00:00","$FEYE and $TOL on sale right now",0.0657772645354271,0.015759801492094994,0.918462872505188
"TOL","2021-07-09 15:35:52+00:00","been raining nearly every other day for last month in south texas.. likely see that impact homebuilder closings for this quarter. texas is an oversize market for builders $LEN $KBH $TOL $NAIL",0.02251485176384449,0.7878756523132324,0.18960954248905182
"TOL","2021-07-12 16:08:57+00:00","600 $TOL JAN2023 $70 Cs trade 4.1",0.08370848000049591,0.03697195276618004,0.8793195486068726
"TOL","2021-07-13 00:20:05+00:00","$TOL touching 55",0.17404429614543915,0.07452736049890518,0.7514283657073975
