"symbol","timestamp","content","Positive","Negative","Neutral"
"PG","2021-06-06 21:30:00+00:00","Amazon Prime Day = June 21-22 Usually a July event and Q3 line item. This year a fiscal Q2 event.  Will make 2 year comps interesting for retailers and good companies.  Target: $TGT Wayfair: $W Walmart: $WMT Aterian: $ATER P&amp;G: $PG HomeDepot: $HD",0.1223369091749191,0.0129598155617713,0.8647032380104065
"PG","2021-06-07 06:22:10+00:00","Instead of raising the prices of their products due to rising raw material costs, consumer staples companies are reducing the sizes of their products so they can keep the price of their products the same. $XLP $PG $K $GIS $CPB $SJM $THS $VITL $PLC $SAFM $KMB $WMT $TGT $COST $ACI",0.1704127639532089,0.04823449999094,0.7813527584075928
"PG","2021-06-07 16:30:00+00:00","Companies products I use everyday: Apple $AAPL - phone, watch, computer - own 12.07 shares Microsoft $MSFT - Excel, Xbox - own 4 shares Proctor and Gamble $PG - Toothpaste, Deodorant - own 2.8 shares Coca Cola $KO - Water, Soda -  own 6.3 shares Own what you consume!!",0.0258202329277992,0.0279351286590099,0.9462445974349976
"PG","2021-06-07 16:44:00+00:00","TICKER 31 DIVIDEND KINGS : $SCL $FUL $GPC $LOW $CL $HRL  $KO $LANC $MO $PG $SYY $TR  $UVV $NFG $CINF $FMCB $CBSH $JNJ  $ABM $DOV $EMR $MMM $NDSN $PH $SWK $FRT $AWR $BKH $CWT $NWN $SJW",0.3273535966873169,0.0595482811331748,0.6130980849266052
"PG","2021-06-08 13:00:34+00:00","Have been holding swings for a few months now. Doing research to put together a new dividend portfolio so far like $PG $MO",0.0943967700004577,0.0133959809318184,0.8922073245048523
"PG","2021-06-08 16:24:15+00:00","Best and worst performing Dow Jones stocks so far today Best: 1 $IBM 2 Honeywell $HON 3 Apple $AAPL 4 Chevron $CVX 5 McDonald's $MCD 6 Cisco $CSCO 7 UnitedHealth $UNH Worst: 1 Johnson &amp; Johnson $JNJ 2 Walgreens $WBA 3 Nike $NKE 4 $PG 5 Boeing $BA 6 Coca-Cola $KO 7 Merck $MRK",0.0245080590248107,0.7826142311096191,0.1928776204586029
"PG","2021-06-10 01:30:04+00:00","Golden Cross (50SMA crossing above the 200SMA): None of note.  $PG is very close. Death Cross (50SMA crossing under the 200SMA): $PDD - $JMIA - $RDFN - $CHGG - $MELI ( $ARKG is very close)",0.104808010160923,0.0206962507218122,0.8744956851005554
"PG","2021-06-10 10:10:45+00:00","Many thanks to General Sherman for his March to Profitability for $GME. Now let's see how much Australia and $PG (@PG) helps to sell crypto at 5000 Gamestop stores... my idea, mate, not his @GME, @WSB, @Whatever, @itsamaribeetch",0.1730622798204422,0.0106249433010816,0.8163127899169922
"PG","2021-06-10 17:05:56+00:00","Best and worst performing Dow Jones stocks so far today Best: 1 Walgreens $WBA 2 Merck $MRK 3 Amgen $AMGN 4 Cisco $CSCO 5 Microsoft $MSFT 6 $PG 7 McDonald's $MCD Worst: 1 Caterpillar $CAT 2 American Express $AXP 3 JPMorgan $JPM 4 Nike $NKE 5 Apple $AAPL 6 Goldman $GS 7 $UNH",0.0233128070831298,0.7944775223731995,0.1822096407413482
"PG","2021-06-10 19:05:23+00:00","Dividend Kings have 50 or more years of dividend increases, incredible! Here are the top 10 highest yielding $MO 6.58% $NWN 3.50% $FRT 3.44% $KO 3.01% $MMM 2.91% $PG 2.56% $JNJ 2.54% $GPC 2.54% $SYY 2.28% $CL 2.16%",0.1042112186551094,0.0214169844985008,0.8743718266487122
"PG","2021-06-11 14:17:10+00:00","Great trading models at Profectus Systems $AAPL $BAC $PG $YHOO $CHK $WFC $FB $CRM $GE $MRO $NFLX $AMZN $TSLA $SPY $VLO $JBLU $ATVI $AMD",0.509882926940918,0.0159594677388668,0.4741575419902801
"PG","2021-06-11 15:47:19+00:00","Fuck you $PG 😭",0.0456236153841018,0.4167342483997345,0.5376421809196472
