"timestamp","content","symbol"
"2021-06-16 14:15:15+00:00","2 sites identified and under DD. 😉 $LUX.c,with the support of NAP.Mineração/USP,has identified 2 highly prospective areas suitable forthe deployment of $LUX ESG-focused precious metals processing plants. These projects are currently in due diligence,further details will follow.","LUX"
"2021-06-23 19:11:52+00:00","I've officially entered a strong position in Newlox Gold Ventures $LUX $LUX.CN. Current price is at $0.28, but remember that Robert McWhirter called the stock ""Cheap cheap cheap"" on BNN 2021-01-05 when the stock closed at $0.305 the day before! @NewloxGold","LUX"
"2021-06-24 00:22:11+00:00","$LUX committed suicide long before McAfee did.","LUX"
"2021-06-29 00:08:53+00:00","Updated multibag unicorn moon picks for July and the remainder of 2021. A very shortened list as I switch to my top 7 conviction plays only $NBLC $SHG $PKK $VSBY $PBX $LUX $EMO #unicornindex #multibagpicks #luckynumberseven","LUX"
"2021-07-06 18:53:36+00:00","$LUX in rocket ship mode today...a game changer in the gold mining juniors","LUX"
"2021-07-07 10:32:42+00:00",". .   $LUX   undervalued /ˌəndərˈvalyo͞od/ adjective: undervalued; adjective: under-valued not valued or appreciated highly enough. having an underestimated financial value. ""buying undervalued shares of solid businesses leads to better returns"" see also: Newlox Gold,  $LUX","LUX"
"2021-07-11 05:12:17+00:00","$LUX good way to get out a slump 🚀📈","LUX"
"2021-07-13 22:00:36+00:00","The Brazil Overview Zoom Meeting with @NewloxGold was absolutely astonishing! I am even more confident than ever moving forward as an investor in this company. Good times are ahead of us! 🇨🇦 $LUX  🇺🇸 $NWLXF 🇩🇪 $NGO","LUX"
"2021-07-15 21:05:22+00:00","$NWLXF $LUX.CA $LUX  RSi cooled off today, was waiting for the pullback. Grabbed some shares at .48c - starter position. Looking to add more, if it goes any lower.  Like this one.","LUX"
"2021-07-18 16:15:31+00:00","There was no video this week as I was busy continuing me research of @NewloxGold. By next week I should have finished my Catalyst List and also Price Target spreadsheet for the company. Looking forward to share my content with you once it is done! 🇨🇦 $LUX  🇺🇸 $NWLXF 🇩🇪 $NGO","LUX"
"2021-07-19 12:17:44+00:00","My Catalyst List of @NewloxGold is finished and I like what I see! A steady flow of catalysts throughout the year and I expect new catalysts to keep on coming. My ambition is to release a Catalyst Movie on Sunday 25th, stay tuned. 🇨🇦 $LUX  🇺🇸 $NWLXF 🇩🇪 $NGO","LUX"
"2021-07-20 08:12:32+00:00","Just finished my Price Targets on @NewloxGold as well! Glad to be a shareholder at current low levels. Next step is to start writing scripts for my Catalyst and Price Target videos 🔥 @The_PennyQueen @stockdetectives @JeromeCliche  🇨🇦 $LUX  🇺🇸 $NWLXF 🇩🇪 $NGO","LUX"
"2021-07-20 18:16:17+00:00","Will @NewloxGold's stock more than double in this year alone? In tomorrow's video I'll talk about my price targets for the company! It'll be released 8AM EDT💵🎯 🇨🇦 $LUX  🇺🇸 $NWLXF 🇩🇪 $NGO","LUX"
"2021-07-23 12:05:22+00:00","MEMBERS: On Your Email Now! Mid Day Review - Online Sites Down Event, $MGI, $LUX, Oil, $USO, $BTC, $ERYP, $MTSL, $AUUD, $NVFY, $SELB, $KLDO ...","LUX"
"2021-08-01 00:49:43+00:00","Who else remembers $LUX?","LUX"
"2021-08-19 01:13:24+00:00","The cyclical nature of markets and what not. Now is the time to consider buying Luxottica Group, S.p.A. $LUX #NotStonks","LUX"
"2021-08-20 17:42:24+00:00","No matter where the price trends for BTC .. $LUXFF $Lux is too cheap..legit mining company","LUX"
"2021-08-20 18:00:00+00:00","$LUXFF $Lux is too cheap..legit BTC mining company … check it out @Guv999 - not on many ppls radar","LUX"
"2021-09-09 13:46:16+00:00","$LUX going 🍾","LUX"
"2021-09-29 17:19:11+00:00","#LUXNews – We are pleased to announce samples of 77.1 grams per tonne #gold from the historic Boston Mine in Costa Rica. Our local #mining partners are supplying primary feedstock to our Boston Processing Plant, which is at advanced stages of construction. Details 👇 $LUX $NGO","LUX"
"2021-10-02 00:07:00+00:00","We are a #gold producer focused on environmental remediation. 🍃 Our environmentally friendly process recovers precious metals &amp; contaminants from historical tailings &amp; has secured our access to 30+ artisanal gold projects. 🌟 Learn more 👇 $LUX $NGO","LUX"
"2021-10-05 18:01:00+00:00","We are well-positioned to rapidly increase #gold production in Costa Rica. 📈 As a growth-focused revenue-generating gold producer, we aim to reinvest profits to support our extensive growth plans in Latin America &amp; beyond. 🌱 Learn more 👇 $LUX $NGO","LUX"
"2021-10-07 18:05:00+00:00","We are developing #gold projects through precious metals recovery from #mining waste. 🌟 Our unique approach eliminates the conventional, time &amp; capital-intensive process of exploring for, permitting, and then mining gold. 👀 Learn more 👇 $LUX $NGO","LUX"
"2021-10-11 15:54:00+00:00","At Newlox, #ESG is built into our business. 🍃 Our goal is to modernize #gold #mining using our reclamation process designed to provide environmental remediation and profitable gold production. ♻️ 📈 Learn more in our investor presentation 👇 $LUX $NGO","LUX"
"2021-10-16 00:10:00+00:00","Our tailings remediation model is helping local artisanal #gold miners in Costa Rica to: 💰 Create a valuable revenue stream from their waste material 🌿 Reduce the environmental impact of their operations Learn more 👇 $LUX $NGO","LUX"
"2021-10-19 18:09:00+00:00","We are modernizing the #gold #mining industry with our environmentally &amp; socially responsible process. 🌱 Our team and @UBC have established a waste remediation &amp; gold recovery operation that is generating ever-increasing cash flow. 💰 Learn more 👇 $LUX $NGO #Investing","LUX"
"2021-10-21 17:55:00+00:00","Our #gold production process focuses on improving environmental, social &amp; economic wellbeing in local communities. ✅ By reprocessing historical #mining waste, we recover valuable precious minerals while cleaning up the environment. 🌱 Learn more 👇 $LUX $NGO #Investing #ESG","LUX"
"2021-10-26 16:50:04+00:00","Newlox Gold is up over 22% in the US on news that miners have started stockpiling for the Boston project ahead of gold operations.  Looks like the news flow has just started here and I can't wait to see production  numbers!  🇺🇸  $NWLXF 🇨🇦 $LUX","LUX"
"2021-10-27 14:11:50+00:00","20% of the world’s #gold is produced by artisanal mining (read: basic tools &amp; sifting), which leaves a ton of gold in the tailings when done. $LUX takes it from them and pulls out the remaining gold, which costs them $600/oz. all in, and sells for $1,800.","LUX"
"2021-10-28 14:12:21+00:00","This is the same as them generating $0.24 in cash flow each year for every $1 of stock purchased, and the cash is already being generated. $LUX #gold","LUX"
"2021-10-29 14:28:11+00:00","The 2nd Costa Rica facility (“Boston”) just opened, bringing capacity to US$47 million/yr. revenue and US$31 million/yr in profit. High margins because it’s toll processing of material brought from local artisanal mines. $LUX #gold","LUX"
"2021-11-01 17:11:43+00:00","Tomorrow at 2pm EDT I'll release my next video ""The Business models of Newlox Gold EXPLAINED""! In the video I'll compare regular artisanal mining practices with @NewloxGold's ESG focused 50/50 Model &amp; Buy-Tailings Model ⛏️ 🇨🇦 $LUX 🇺🇸 $NWLXF 🇩🇪 $NGO","LUX"
"2021-11-03 22:57:21+00:00","Gains in crypto have been crazy and I look forward to them continuing $BTC $ETH $SOL $BCH $OCEAN $RAIL $ECO $SPRTS $HERO $LUX $SAFE $NBL $CHAIN +those I forgot, but I just want to take a moment and shout out the little things in life. #grateful #healthiswealth #peace #love #unity","LUX"
"2021-11-15 18:23:00+00:00","Dr Veiga presents Newlox’s artisanal #gold #ESG model to the Costa Rican government. $LUX $NGO #Investing #NewloxGold","LUX"
"2021-12-03 07:07:23+00:00","$LUX launches today at 20:00UTC. NFT and gaming. Market cap at launch would be sub 500k. Don’t miss this and let others know. How many Xs can it do on launch? Team has announcements to make, keep up with it. #LUX #VR $VR $LUX $NULS $NORD $SSG $BTC #BSCGems","LUX"
"2021-12-07 08:16:12+00:00","🤑 New coin listing on CoinGecko! Luxury Club , Symbol: $LUX  #cryptocurrency #crypto","LUX"
"2021-12-10 03:58:03+00:00","So, @DeGatchi and I just hopped off a call that has me so bullish, I want to cry... Time to pull out the white boards and get to work, looking forward to our Town Hall this weekend 😎 $SOUL + $LUX = ???","LUX"
"2021-12-12 23:04:07+00:00","We’ve crunched some numbers and below are some summary stats.  • 📆 $LUX Total Supply: 175 LUX • Daily LUX Emissions: 25 daily • 🪙 Circulating Supply: 120 LUX • 🕋 DAO-Owned $LUX: 25 (14.28%) • ⛅️ 5-Day Forecast: +30 $LUX • 🏦 Reserves: $66,000 💭 How are we doing?","LUX"
"2021-12-13 20:38:06+00:00","We heard y'all wanted more opportunities to acquire $LUX and we're delivering on this by rolling out a marketplace with quick and easy bonding opportunities! This will help us grow our treasury and expand our economy unlike ever before! ☀️ Stay tuned for updates (today)!","LUX"
"2021-12-18 13:01:19+00:00","We will raise the backing value from 1 $DAI up to at least XXX $DAI per $LUX — stay tuned for details…","LUX"
"2021-12-27 13:35:02+00:00","Pretty sure $SOUL and $LUX make me some fuck you money this cycle. They are building big things and it seems like noone is paying attention. HFSP @SoulSwapFinance @LuxorMoney","LUX"
"2022-01-02 18:59:58+00:00","Finally picked up some $LUX ☀️","LUX"
"2022-01-03 12:44:21+00:00","while the market bleeds, the $FTM ecosystem is enjoying cozy farming, new ATHs, and life-changing opportunities. are your bags packed anon? 💸 $LQDR $SPIRIT $TOMB $BLOOM $LUX $SOUL $BEETS","LUX"
"2022-01-03 13:10:10+00:00","Took some profits on my over a 10X now of $SCARAB Leaving the rest in for the foreseeable future just compounding away until the amount makes the blood drain from my face.  Rolled a portion of profits into $LUX and $SOUL thru @SoulSwapFinance  I just dont see any sellers","LUX"
"2022-01-03 18:05:45+00:00","Current $FTM ECO Holds $SPIRIT $SCARAB and $GSCRAB $TSHARE  $TOMB LP $SOUL $LUX $LQDR Will likely being rolling profits into others but these are my money printers for the week.","LUX"
"2022-01-03 23:09:35+00:00","With all of the attention (rightfully) coming back into the @FantomFDN ecosystem, would HIGHLY recommend those who are looking for an incredibly dedicated &amp; intelligent DEX team to checkout @SoulSwapFinance x @LuxorMoney. Small 3.5m MCAP - Huge potential. $SOUL $LUX on $FTM","LUX"
"2022-01-03 23:45:13+00:00","I'm looking at $GRIM $REAPER $HNR $SCARAB $LUX $SOUL $TAROT","LUX"
"2022-01-04 18:15:33+00:00","Picked up some $LUX on $FTM.  Ohm fork with 4.5mil apy (lol) and 1.3m marketcap.  Chart bottomed out and with FTM season in full swing I think there's some good upside here.  Dyor and don't blindly ape tho, this is pretty degen","LUX"
"2022-01-06 00:18:50+00:00","Bought more $SPELL and $LUX on that dip. Hope I'm not too early 🤞","LUX"
"2022-01-07 08:13:24+00:00","Ahhh! I've been compromised by the Russians!! JK you foolish human. Now aggressively trade Luxottica Group, S.p.A. $LUX #WallStreetBets","LUX"
"2022-01-12 17:55:11+00:00","$LUX on fantom . sub 1m MC $OHM fork .  @LuxorMoney  dyor","LUX"
"2022-01-13 15:22:11+00:00","#LUXNews — Wilmer Ñiquen has been appointed as our VP of Operations. 🌟 Mr. Ñiquen brings over 24 years of experience as a metallurgical engineer who has successfully built, optimized &amp; operated numerous precious metals production facilities. ⛏️ $LUX $NGO #Invest","LUX"
"2022-01-15 15:32:58+00:00","If you're smart here you can create a passive income portfolio in crypto that will let you quit your day job a year from now. $LVT $THOR $TIME $POWER $HEC $SPA $LUX 🤤","LUX"
"2022-01-16 03:41:51+00:00","Pretty sure $SOUL $LUX and $COFFIN all at least 5X from here if $FTM breaks ATH","LUX"
"2022-01-16 10:10:57+00:00","$SPIRIT, $TCS, $BRUSH, $LUX all printing. Thank you, FTM Ecosystem.","LUX"
"2022-01-16 12:33:23+00:00","Just entered a position in $SOUL and bonded some DAI for $LUX (14 days). What else do I need to know? #FTM #SOUL #LUX @SoulSwapFinance @LuxorMoney","LUX"
"2022-01-16 15:18:53+00:00","$lux &amp; $yel doing well 👀","LUX"
"2022-01-16 18:24:15+00:00","$SOUL and $LUX pumping, very low mcaps, good potentional for huge pumps","LUX"
"2022-01-16 21:25:46+00:00","$lux, the $ohm of $ftm @ $2.7m mc. You do the math 🤑🤑🤑","LUX"
"2022-01-16 21:48:30+00:00","👉 Luxor $LUX / $WFTM Fantom - SoulSwap 🟢 Price is up 36.76% in the last hour 🟢 Price: $1,065.97  -  24H Txns: 850  -  24H Volume: $570K - Liquidity: $360K #fantom #soulswap #lux #luxor","LUX"
"2022-01-16 22:02:47+00:00","Just getting started $lux $soul @SoulSwapFinance.","LUX"
"2022-01-17 08:20:58+00:00","gm fam 🤙 Keep your eyes on these small caps and do some research: $GOMB $DEVIL $SCR $LUX $WATERFALL Micro caps (Less than 2M Market cap)  Not financial advice Lets get this bread 🍞 Have a wonderful day 🙌","LUX"
"2022-01-17 12:23:34+00:00","Buying this $LUX dip and headed to bed. Up early to grind in @WeatheReportNFT Discord when it goes live. gn","LUX"
"2022-01-17 14:24:35+00:00","$Quartz  $Metis  $Tethys $Rose $FTM $Pills $Lqdr $Lux $Shades  $Oct .. these are a lot of big positions I hold .. a lot of these are already 2x if not 3x from when I called these!!!follow for more hidden gems !! #Cryptos #Bitcoin #Ethereum","LUX"
"2022-01-17 20:53:30+00:00","Added a big bag of @LuxorMoney on this dip. See you in four months. $lux","LUX"
"2022-01-18 16:53:28+00:00","gonna ride this $Pills wave hopefully - up to $3-4? maybe rotate back into $lux to stake","LUX"
"2022-01-18 19:56:34+00:00","$pills really coiling up here, with $ftm holding strong &amp; if the market doesn't nuke; i can see $ftm revisiting the $3 range again &amp; $pills touching $4+ will be positioning 40% into USDC (unsure what will happen after the andre ftm news) &amp; 10% as a moon bag &amp; the rest into $lux","LUX"
"2022-01-18 20:07:29+00:00","I have a feeling $soul @SoulSwapFinance will have another run up once $BTC settles down again, whole $ftm space is gonna perform. Also $lux @LuxorMoney is an interesting looking project..","LUX"
"2022-01-21 11:26:44+00:00","$LUX my only bag green this morning. Noice @LuxorMoney","LUX"
"2022-01-21 17:46:59+00:00","Not sure where this drop ends so moving 90% back into good yielding farms. $BEETS / $FTM @beethoven_x  $2share/ $2omb @2ombFinance  $PROTO / $FTM @ProtoFiProtocol  $RANCH / $FTM @ranch_money  $LUX single @LuxorMoney  @fantomonftm Food Lps (all) Still got $SOUL (ride or die)","LUX"
"2022-01-29 15:16:16+00:00","1/29/2022 MC:TREAS $HEC:0.62 $MEMO:0.77 $OHM:1.12 $BTRFLY:2.0 $FHM:0.84 $SCC: 3.2 $LUX: 0.92 $MCC:7.16","LUX"
"2022-01-30 04:25:47+00:00","Got cought on the Microcaps retracement, but there is where 10xs are made, next wave will come, and we will surf it! $lux $soul $beets $pills","LUX"
"2022-01-30 08:14:12+00:00","👉 Luxor $LUX / $WFTM Fantom - SoulSwap 🟢 Price is up 21.65% in the last hour 🟢 Price: $142.38  -  24H Txns: 240  -  24H Volume: $100K - Liquidity: $230K #fantom #soulswap #lux #luxor","LUX"
"2022-02-03 00:36:25+00:00","$lux is about to 10x @SoulSwapFinance","LUX"
"2022-02-03 07:43:50+00:00","I had a great interview with Ryan from @NewloxGold this week and will be releasing a summary later this week. I look forward sharing it with you 🎁 🇨🇦 $LUX 🇺🇸 $NWLXF 🇩🇪 $NGO","LUX"
